funcid,dim,milestone,error
24,10,1,1.243456e+03
24,10,2,1.243456e+03
24,10,3,1.243456e+03
24,10,5,1.243456e+03
24,10,10,1.071595e+03
24,10,20,7.890267e+02
24,10,30,7.890267e+02
24,10,40,7.890267e+02
24,10,50,7.107211e+02
24,10,60,7.103254e+02
24,10,70,7.103254e+02
24,10,80,7.078443e+02
24,10,90,7.060683e+02
24,10,100,7.060683e+02
24,10,1,8.899064e+02
24,10,2,8.896361e+02
24,10,3,8.896361e+02
24,10,5,8.896361e+02
24,10,10,8.896361e+02
24,10,20,5.123084e+02
24,10,30,5.121356e+02
24,10,40,5.121356e+02
24,10,50,5.121022e+02
24,10,60,5.120941e+02
24,10,70,5.120941e+02
24,10,80,5.120941e+02
24,10,90,5.120941e+02
24,10,100,5.120941e+02
24,10,1,7.371817e+02
24,10,2,6.712846e+02
24,10,3,6.712116e+02
24,10,5,6.712112e+02
24,10,10,6.712112e+02
24,10,20,6.712112e+02
24,10,30,6.712112e+02
24,10,40,5.516066e+02
24,10,50,5.516066e+02
24,10,60,5.496647e+02
24,10,70,5.496647e+02
24,10,80,5.496647e+02
24,10,90,4.753237e+02
24,10,100,4.753237e+02
24,10,1,7.814295e+02
24,10,2,7.814295e+02
24,10,3,7.814295e+02
24,10,5,7.814295e+02
24,10,10,7.814295e+02
24,10,20,7.797449e+02
24,10,30,7.785430e+02
24,10,40,7.777658e+02
24,10,50,7.777658e+02
24,10,60,6.013500e+02
24,10,70,6.013500e+02
24,10,80,6.013500e+02
24,10,90,6.013500e+02
24,10,100,6.013500e+02
24,10,1,7.803123e+02
24,10,2,7.803122e+02
24,10,3,7.803122e+02
24,10,5,7.803122e+02
24,10,10,7.803122e+02
24,10,20,7.803122e+02
24,10,30,5.932613e+02
24,10,40,5.932613e+02
24,10,50,5.932613e+02
24,10,60,5.932613e+02
24,10,70,5.932613e+02
24,10,80,5.932613e+02
24,10,90,5.932613e+02
24,10,100,5.932613e+02
24,10,1,4.958288e+02
24,10,2,1.989869e+02
24,10,3,1.163798e+02
24,10,5,1.000000e+02
24,10,10,1.000000e+02
24,10,20,1.000000e+02
24,10,30,1.000000e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,8.474136e+02
24,10,2,8.430747e+02
24,10,3,8.430747e+02
24,10,5,8.430747e+02
24,10,10,8.390675e+02
24,10,20,8.390156e+02
24,10,30,8.328138e+02
24,10,40,8.276290e+02
24,10,50,8.276290e+02
24,10,60,8.276290e+02
24,10,70,8.276290e+02
24,10,80,8.276290e+02
24,10,90,8.276290e+02
24,10,100,8.276290e+02
24,10,1,1.773839e+02
24,10,2,1.160306e+02
24,10,3,1.000242e+02
24,10,5,1.000000e+02
24,10,10,1.000000e+02
24,10,20,1.000000e+02
24,10,30,1.000000e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,7.129824e+02
24,10,2,6.568333e+02
24,10,3,6.543876e+02
24,10,5,6.543876e+02
24,10,10,5.750966e+02
24,10,20,1.060740e+02
24,10,30,1.000000e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
24,10,1,7.241569e+02
24,10,2,7.241569e+02
24,10,3,7.241569e+02
24,10,5,7.241569e+02
24,10,10,7.172855e+02
24,10,20,7.172855e+02
24,10,30,7.172855e+02
24,10,40,1.000000e+02
24,10,50,1.000000e+02
24,10,60,1.000000e+02
24,10,70,1.000000e+02
24,10,80,1.000000e+02
24,10,90,1.000000e+02
24,10,100,1.000000e+02
