funcid,dim,milestone,error
12,10,1,2.593202e+10
12,10,2,7.657603e+06
12,10,3,6.314288e+06
12,10,5,5.036993e+06
12,10,10,4.709350e+06
12,10,20,4.147133e+06
12,10,30,4.147133e+06
12,10,40,4.147133e+06
12,10,50,4.147133e+06
12,10,60,4.147133e+06
12,10,70,4.147133e+06
12,10,80,4.147133e+06
12,10,90,4.147133e+06
12,10,100,1.665592e+05
12,10,1,4.617896e+09
12,10,2,4.443214e+08
12,10,3,3.761735e+08
12,10,5,3.761735e+08
12,10,10,3.761735e+08
12,10,20,7.077380e+05
12,10,30,4.774124e+05
12,10,40,4.774124e+05
12,10,50,4.774124e+05
12,10,60,4.774124e+05
12,10,70,4.774124e+05
12,10,80,4.774124e+05
12,10,90,4.774124e+05
12,10,100,4.053302e+05
12,10,1,1.738727e+09
12,10,2,1.726472e+09
12,10,3,1.726472e+09
12,10,5,1.726472e+09
12,10,10,1.726472e+09
12,10,20,6.560752e+08
12,10,30,6.560752e+08
12,10,40,6.560752e+08
12,10,50,6.560752e+08
12,10,60,6.560752e+08
12,10,70,6.560752e+08
12,10,80,6.560752e+08
12,10,90,3.426934e+08
12,10,100,1.919866e+06
12,10,1,1.564955e+10
12,10,2,1.009363e+10
12,10,3,9.869524e+09
12,10,5,4.560865e+09
12,10,10,3.833063e+09
12,10,20,2.855533e+09
12,10,30,2.855533e+09
12,10,40,1.436581e+09
12,10,50,1.436581e+09
12,10,60,3.044095e+07
12,10,70,3.044095e+07
12,10,80,3.044095e+07
12,10,90,3.044095e+07
12,10,100,2.927543e+07
12,10,1,1.054107e+09
12,10,2,1.044009e+09
12,10,3,1.044009e+09
12,10,5,1.044009e+09
12,10,10,1.044009e+09
12,10,20,1.044009e+09
12,10,30,1.044009e+09
12,10,40,1.044009e+09
12,10,50,1.044009e+09
12,10,60,1.044009e+09
12,10,70,1.044009e+09
12,10,80,3.898994e+05
12,10,90,3.898994e+05
12,10,100,3.898994e+05
12,10,1,1.724163e+10
12,10,2,5.336728e+09
12,10,3,5.175156e+09
12,10,5,5.175156e+09
12,10,10,4.571746e+09
12,10,20,2.249294e+08
12,10,30,2.249294e+08
12,10,40,2.249294e+08
12,10,50,2.249294e+08
12,10,60,2.249294e+08
12,10,70,2.249294e+08
12,10,80,2.249294e+08
12,10,90,2.249294e+08
12,10,100,1.255410e+07
12,10,1,1.503597e+10
12,10,2,4.488214e+09
12,10,3,3.425536e+09
12,10,5,1.986122e+09
12,10,10,1.986122e+09
12,10,20,1.986122e+09
12,10,30,1.986122e+09
12,10,40,1.986122e+09
12,10,50,8.026788e+08
12,10,60,8.026788e+08
12,10,70,8.026788e+08
12,10,80,8.026788e+08
12,10,90,1.881436e+08
12,10,100,8.645674e+06
12,10,1,1.054320e+10
12,10,2,1.052055e+10
12,10,3,2.890243e+09
12,10,5,1.708344e+09
12,10,10,1.170559e+09
12,10,20,1.368568e+04
12,10,30,1.355947e+04
12,10,40,1.355947e+04
12,10,50,1.355947e+04
12,10,60,1.355947e+04
12,10,70,1.355947e+04
12,10,80,1.355947e+04
12,10,90,1.355947e+04
12,10,100,1.355947e+04
12,10,1,1.495218e+10
12,10,2,5.239419e+09
12,10,3,5.060710e+09
12,10,5,5.060710e+09
12,10,10,5.060710e+09
12,10,20,1.853980e+09
12,10,30,1.853980e+09
12,10,40,1.853980e+09
12,10,50,2.371637e+08
12,10,60,4.604439e+07
12,10,70,4.604439e+07
12,10,80,4.604439e+07
12,10,90,4.604439e+07
12,10,100,2.019607e+06
12,10,1,1.443529e+10
12,10,2,5.999212e+09
12,10,3,5.810950e+09
12,10,5,5.810950e+09
12,10,10,5.810950e+09
12,10,20,5.810950e+09
12,10,30,3.653788e+09
12,10,40,6.746331e+08
12,10,50,4.655164e+08
12,10,60,4.655164e+08
12,10,70,1.920609e+08
12,10,80,1.920609e+08
12,10,90,1.920609e+08
12,10,100,9.003120e+06
