funcid,dim,milestone,error
4,30,1,1.824292e+04
4,30,2,1.936427e+02
4,30,3,1.814337e+02
4,30,5,1.808491e+02
4,30,10,1.808491e+02
4,30,20,1.808491e+02
4,30,30,1.808491e+02
4,30,40,1.808491e+02
4,30,50,1.808491e+02
4,30,60,1.808491e+02
4,30,70,1.808491e+02
4,30,80,1.808491e+02
4,30,90,1.808491e+02
4,30,100,1.808491e+02
4,30,1,5.082227e+02
4,30,2,2.318136e+02
4,30,3,2.318136e+02
4,30,5,2.318136e+02
4,30,10,2.318136e+02
4,30,20,2.318136e+02
4,30,30,2.318136e+02
4,30,40,2.318136e+02
4,30,50,2.318136e+02
4,30,60,2.318136e+02
4,30,70,2.318136e+02
4,30,80,2.318136e+02
4,30,90,2.318136e+02
4,30,100,2.318136e+02
4,30,1,2.698756e+02
4,30,2,1.433340e+02
4,30,3,1.356372e+02
4,30,5,1.307356e+02
4,30,10,1.259761e+02
4,30,20,1.255244e+02
4,30,30,1.255244e+02
4,30,40,1.255244e+02
4,30,50,1.255244e+02
4,30,60,1.255244e+02
4,30,70,1.255244e+02
4,30,80,1.255244e+02
4,30,90,1.255244e+02
4,30,100,1.255244e+02
4,30,1,6.817543e+02
4,30,2,5.781788e+02
4,30,3,5.332562e+02
4,30,5,5.292043e+02
4,30,10,5.292043e+02
4,30,20,5.292043e+02
4,30,30,5.292043e+02
4,30,40,5.292043e+02
4,30,50,5.292043e+02
4,30,60,5.292043e+02
4,30,70,5.292043e+02
4,30,80,5.292043e+02
4,30,90,5.292043e+02
4,30,100,5.292043e+02
4,30,1,5.203563e+02
4,30,2,2.410179e+02
4,30,3,2.369312e+02
4,30,5,2.369312e+02
4,30,10,2.369312e+02
4,30,20,2.369312e+02
4,30,30,2.369312e+02
4,30,40,2.369312e+02
4,30,50,2.369312e+02
4,30,60,2.369312e+02
4,30,70,2.369312e+02
4,30,80,2.369312e+02
4,30,90,2.369312e+02
4,30,100,2.369312e+02
4,30,1,1.566069e+02
4,30,2,1.107760e+02
4,30,3,1.074921e+02
4,30,5,1.036564e+02
4,30,10,1.036492e+02
4,30,20,1.036492e+02
4,30,30,1.036492e+02
4,30,40,1.036492e+02
4,30,50,1.036492e+02
4,30,60,1.036492e+02
4,30,70,1.036492e+02
4,30,80,1.036492e+02
4,30,90,1.036492e+02
4,30,100,1.036492e+02
4,30,1,1.474449e+05
4,30,2,2.292506e+02
4,30,3,1.957320e+02
4,30,5,1.957320e+02
4,30,10,1.957320e+02
4,30,20,1.957320e+02
4,30,30,1.957320e+02
4,30,40,1.957320e+02
4,30,50,1.957320e+02
4,30,60,1.957320e+02
4,30,70,1.957320e+02
4,30,80,1.957320e+02
4,30,90,1.957320e+02
4,30,100,1.957320e+02
4,30,1,4.447765e+02
4,30,2,1.359328e+02
4,30,3,1.273302e+02
4,30,5,7.222099e+01
4,30,10,6.825475e+01
4,30,20,6.815486e+01
4,30,30,6.809032e+01
4,30,40,6.802658e+01
4,30,50,6.796066e+01
4,30,60,6.788638e+01
4,30,70,6.778236e+01
4,30,80,6.693816e+01
4,30,90,1.994802e-02
4,30,100,1.844583e-02
4,30,1,3.287318e+02
4,30,2,2.002167e+02
4,30,3,1.971648e+02
4,30,5,1.669767e+02
4,30,10,1.308046e+02
4,30,20,1.306748e+02
4,30,30,1.306748e+02
4,30,40,1.306748e+02
4,30,50,1.306748e+02
4,30,60,1.306748e+02
4,30,70,1.306748e+02
4,30,80,1.306748e+02
4,30,90,1.306748e+02
4,30,100,1.306748e+02
4,30,1,3.072540e+02
4,30,2,1.344462e+02
4,30,3,1.258173e+02
4,30,5,1.254010e+02
4,30,10,1.252526e+02
4,30,20,1.252526e+02
4,30,30,1.252526e+02
4,30,40,1.252526e+02
4,30,50,1.252526e+02
4,30,60,1.252526e+02
4,30,70,1.252526e+02
4,30,80,1.252526e+02
4,30,90,1.252526e+02
4,30,100,1.252526e+02
