funcid,dim,milestone,error
10,30,1,5.592840e+03
10,30,2,5.571349e+03
10,30,3,5.571349e+03
10,30,5,5.571349e+03
10,30,10,5.571349e+03
10,30,20,5.555871e+03
10,30,30,5.534111e+03
10,30,40,5.525716e+03
10,30,50,5.525716e+03
10,30,60,5.492498e+03
10,30,70,5.492498e+03
10,30,80,5.489459e+03
10,30,90,5.482368e+03
10,30,100,5.482368e+03
10,30,1,6.627720e+03
10,30,2,6.608037e+03
10,30,3,6.608037e+03
10,30,5,6.608037e+03
10,30,10,6.608037e+03
10,30,20,6.603166e+03
10,30,30,6.564411e+03
10,30,40,6.564411e+03
10,30,50,6.498048e+03
10,30,60,6.482827e+03
10,30,70,6.476403e+03
10,30,80,4.092653e+03
10,30,90,4.074974e+03
10,30,100,4.074974e+03
10,30,1,5.783332e+03
10,30,2,5.783332e+03
10,30,3,5.783332e+03
10,30,5,5.783332e+03
10,30,10,5.783332e+03
10,30,20,5.717577e+03
10,30,30,5.629030e+03
10,30,40,5.603690e+03
10,30,50,5.603690e+03
10,30,60,5.567920e+03
10,30,70,5.567920e+03
10,30,80,5.567920e+03
10,30,90,5.567920e+03
10,30,100,5.567920e+03
10,30,1,5.993799e+03
10,30,2,5.973023e+03
10,30,3,5.973023e+03
10,30,5,5.973023e+03
10,30,10,5.972948e+03
10,30,20,5.954747e+03
10,30,30,5.876013e+03
10,30,40,5.768800e+03
10,30,50,5.768800e+03
10,30,60,5.615296e+03
10,30,70,5.605807e+03
10,30,80,5.554675e+03
10,30,90,5.528646e+03
10,30,100,5.528646e+03
10,30,1,6.089823e+03
10,30,2,6.089823e+03
10,30,3,6.089823e+03
10,30,5,6.089823e+03
10,30,10,6.089823e+03
10,30,20,6.075810e+03
10,30,30,5.898072e+03
10,30,40,5.864928e+03
10,30,50,5.864928e+03
10,30,60,4.816591e+03
10,30,70,4.722397e+03
10,30,80,4.711696e+03
10,30,90,4.711696e+03
10,30,100,4.555878e+03
10,30,1,4.582358e+03
10,30,2,4.582358e+03
10,30,3,4.582358e+03
10,30,5,4.582358e+03
10,30,10,4.582358e+03
10,30,20,4.540200e+03
10,30,30,4.369152e+03
10,30,40,4.254723e+03
10,30,50,4.253041e+03
10,30,60,3.947817e+03
10,30,70,3.891328e+03
10,30,80,3.891328e+03
10,30,90,3.891328e+03
10,30,100,3.891328e+03
10,30,1,5.301872e+03
10,30,2,5.148712e+03
10,30,3,5.148712e+03
10,30,5,5.148712e+03
10,30,10,5.148712e+03
10,30,20,5.105832e+03
10,30,30,5.066325e+03
10,30,40,4.988494e+03
10,30,50,4.988494e+03
10,30,60,4.635507e+03
10,30,70,4.543878e+03
10,30,80,4.421326e+03
10,30,90,4.421326e+03
10,30,100,4.405156e+03
10,30,1,4.431912e+03
10,30,2,4.431912e+03
10,30,3,4.431912e+03
10,30,5,4.431912e+03
10,30,10,4.341054e+03
10,30,20,4.303653e+03
10,30,30,4.184804e+03
10,30,40,4.184804e+03
10,30,50,4.175443e+03
10,30,60,4.092218e+03
10,30,70,4.092217e+03
10,30,80,4.092217e+03
10,30,90,4.092217e+03
10,30,100,4.092217e+03
10,30,1,5.985953e+03
10,30,2,5.985953e+03
10,30,3,5.985953e+03
10,30,5,5.985953e+03
10,30,10,5.985953e+03
10,30,20,5.816329e+03
10,30,30,5.743491e+03
10,30,40,5.729678e+03
10,30,50,5.729678e+03
10,30,60,5.699931e+03
10,30,70,5.685341e+03
10,30,80,5.663967e+03
10,30,90,5.661847e+03
10,30,100,4.582288e+03
10,30,1,5.595896e+03
10,30,2,5.595896e+03
10,30,3,5.595896e+03
10,30,5,5.595896e+03
10,30,10,5.595896e+03
10,30,20,5.566752e+03
10,30,30,5.566752e+03
10,30,40,5.566752e+03
10,30,50,5.566752e+03
10,30,60,5.566752e+03
10,30,70,5.566752e+03
10,30,80,5.566752e+03
10,30,90,5.566752e+03
10,30,100,5.566752e+03
