funcid,dim,milestone,error
23,30,1,2.980413e+03
23,30,2,2.906228e+03
23,30,3,2.906228e+03
23,30,5,2.891182e+03
23,30,10,2.891182e+03
23,30,20,2.891182e+03
23,30,30,1.513488e+03
23,30,40,1.513488e+03
23,30,50,1.513488e+03
23,30,60,1.513488e+03
23,30,70,1.258029e+03
23,30,80,1.258029e+03
23,30,90,1.258029e+03
23,30,100,1.258029e+03
23,30,1,2.051848e+03
23,30,2,2.020952e+03
23,30,3,2.019439e+03
23,30,5,2.008296e+03
23,30,10,2.008296e+03
23,30,20,2.008296e+03
23,30,30,2.008296e+03
23,30,40,1.343562e+03
23,30,50,1.341707e+03
23,30,60,1.336347e+03
23,30,70,1.336347e+03
23,30,80,1.336347e+03
23,30,90,1.336347e+03
23,30,100,1.336347e+03
23,30,1,1.439744e+03
23,30,2,1.409015e+03
23,30,3,1.386449e+03
23,30,5,1.386449e+03
23,30,10,1.386449e+03
23,30,20,1.386449e+03
23,30,30,1.386449e+03
23,30,40,1.386449e+03
23,30,50,1.386449e+03
23,30,60,1.386449e+03
23,30,70,1.386449e+03
23,30,80,1.386449e+03
23,30,90,1.386449e+03
23,30,100,1.100510e+03
23,30,1,2.926783e+03
23,30,2,2.853362e+03
23,30,3,2.839114e+03
23,30,5,2.799502e+03
23,30,10,2.772105e+03
23,30,20,2.415011e+03
23,30,30,2.415011e+03
23,30,40,1.487222e+03
23,30,50,1.486171e+03
23,30,60,1.486171e+03
23,30,70,1.486171e+03
23,30,80,1.486171e+03
23,30,90,1.486171e+03
23,30,100,1.457261e+03
23,30,1,2.014595e+03
23,30,2,2.008923e+03
23,30,3,2.007543e+03
23,30,5,1.989528e+03
23,30,10,1.984465e+03
23,30,20,1.982329e+03
23,30,30,1.363610e+03
23,30,40,1.363610e+03
23,30,50,1.363610e+03
23,30,60,1.363610e+03
23,30,70,1.363610e+03
23,30,80,1.363610e+03
23,30,90,1.363610e+03
23,30,100,1.363610e+03
23,30,1,3.568502e+03
23,30,2,3.377562e+03
23,30,3,3.333344e+03
23,30,5,3.321603e+03
23,30,10,3.321603e+03
23,30,20,3.321603e+03
23,30,30,2.193683e+03
23,30,40,2.193683e+03
23,30,50,1.799794e+03
23,30,60,1.777014e+03
23,30,70,1.777014e+03
23,30,80,1.777014e+03
23,30,90,1.172409e+03
23,30,100,1.172409e+03
23,30,1,3.014976e+03
23,30,2,3.002233e+03
23,30,3,2.994406e+03
23,30,5,2.991439e+03
23,30,10,2.991439e+03
23,30,20,2.074208e+03
23,30,30,2.059056e+03
23,30,40,1.994868e+03
23,30,50,1.991115e+03
23,30,60,1.991115e+03
23,30,70,1.991115e+03
23,30,80,1.236114e+03
23,30,90,1.236114e+03
23,30,100,1.236114e+03
23,30,1,1.096842e+03
23,30,2,1.088214e+03
23,30,3,1.088214e+03
23,30,5,1.084851e+03
23,30,10,1.083808e+03
23,30,20,1.070261e+03
23,30,30,1.070247e+03
23,30,40,1.070247e+03
23,30,50,1.070247e+03
23,30,60,1.070247e+03
23,30,70,1.070247e+03
23,30,80,1.070247e+03
23,30,90,1.070247e+03
23,30,100,1.070247e+03
23,30,1,1.759745e+03
23,30,2,1.740511e+03
23,30,3,1.736751e+03
23,30,5,1.736751e+03
23,30,10,1.736751e+03
23,30,20,1.736751e+03
23,30,30,1.736751e+03
23,30,40,1.088036e+03
23,30,50,1.086692e+03
23,30,60,1.086692e+03
23,30,70,1.086692e+03
23,30,80,1.086692e+03
23,30,90,1.086692e+03
23,30,100,1.086692e+03
23,30,1,4.215824e+03
23,30,2,4.215824e+03
23,30,3,4.215824e+03
23,30,5,4.181555e+03
23,30,10,4.181555e+03
23,30,20,3.490795e+03
23,30,30,3.490795e+03
23,30,40,2.039060e+03
23,30,50,2.039060e+03
23,30,60,1.537157e+03
23,30,70,1.537157e+03
23,30,80,1.056961e+03
23,30,90,1.054499e+03
23,30,100,1.054499e+03
