funcid,dim,milestone,error
5,30,1,9.084169e+02
5,30,2,9.074092e+02
5,30,3,9.074092e+02
5,30,5,9.069493e+02
5,30,10,9.069493e+02
5,30,20,8.991287e+02
5,30,30,8.991287e+02
5,30,40,5.567252e+02
5,30,50,5.567252e+02
5,30,60,5.560806e+02
5,30,70,5.556395e+02
5,30,80,4.887828e+02
5,30,90,4.872922e+02
5,30,100,4.453800e+02
5,30,1,6.746307e+02
5,30,2,6.745338e+02
5,30,3,6.745338e+02
5,30,5,6.738709e+02
5,30,10,6.730460e+02
5,30,20,6.730460e+02
5,30,30,6.156449e+02
5,30,40,6.156449e+02
5,30,50,6.156237e+02
5,30,60,5.751960e+02
5,30,70,5.736168e+02
5,30,80,4.334508e+02
5,30,90,3.501455e+02
5,30,100,3.501455e+02
5,30,1,8.121057e+02
5,30,2,8.116627e+02
5,30,3,8.096174e+02
5,30,5,8.096174e+02
5,30,10,8.087288e+02
5,30,20,8.086393e+02
5,30,30,6.108952e+02
5,30,40,6.091408e+02
5,30,50,6.091408e+02
5,30,60,6.091408e+02
5,30,70,5.911160e+02
5,30,80,5.882773e+02
5,30,90,5.326415e+02
5,30,100,4.473894e+02
5,30,1,6.885535e+02
5,30,2,6.853183e+02
5,30,3,6.853183e+02
5,30,5,6.853183e+02
5,30,10,6.853183e+02
5,30,20,6.853183e+02
5,30,30,6.853183e+02
5,30,40,5.028622e+02
5,30,50,5.024841e+02
5,30,60,5.024841e+02
5,30,70,4.599932e+02
5,30,80,4.555069e+02
5,30,90,4.555069e+02
5,30,100,4.555069e+02
5,30,1,4.221779e+02
5,30,2,4.196806e+02
5,30,3,4.196806e+02
5,30,5,4.196806e+02
5,30,10,4.196806e+02
5,30,20,4.187097e+02
5,30,30,4.131360e+02
5,30,40,4.131360e+02
5,30,50,4.131360e+02
5,30,60,4.131360e+02
5,30,70,4.131360e+02
5,30,80,4.131360e+02
5,30,90,4.131360e+02
5,30,100,4.131360e+02
5,30,1,7.637816e+02
5,30,2,7.593717e+02
5,30,3,7.593717e+02
5,30,5,7.593717e+02
5,30,10,7.586109e+02
5,30,20,7.586109e+02
5,30,30,4.990203e+02
5,30,40,4.977952e+02
5,30,50,4.924099e+02
5,30,60,4.924099e+02
5,30,70,4.924099e+02
5,30,80,4.924099e+02
5,30,90,4.924099e+02
5,30,100,4.924099e+02
5,30,1,7.160798e+02
5,30,2,7.160798e+02
5,30,3,7.151657e+02
5,30,5,7.131152e+02
5,30,10,7.123984e+02
5,30,20,4.610682e+02
5,30,30,4.593927e+02
5,30,40,4.593927e+02
5,30,50,4.593927e+02
5,30,60,4.593927e+02
5,30,70,4.593927e+02
5,30,80,4.593927e+02
5,30,90,4.593927e+02
5,30,100,4.593927e+02
5,30,1,9.261896e+02
5,30,2,9.261896e+02
5,30,3,9.261896e+02
5,30,5,9.249568e+02
5,30,10,9.249568e+02
5,30,20,9.249568e+02
5,30,30,9.249568e+02
5,30,40,5.024375e+02
5,30,50,4.987755e+02
5,30,60,4.982023e+02
5,30,70,4.982023e+02
5,30,80,4.982023e+02
5,30,90,4.982023e+02
5,30,100,4.232950e+02
5,30,1,5.023222e+02
5,30,2,4.991119e+02
5,30,3,4.991119e+02
5,30,5,4.991119e+02
5,30,10,4.973296e+02
5,30,20,4.973296e+02
5,30,30,4.973296e+02
5,30,40,4.973296e+02
5,30,50,4.973296e+02
5,30,60,4.973296e+02
5,30,70,4.496747e+02
5,30,80,4.496747e+02
5,30,90,4.496747e+02
5,30,100,3.439735e+02
5,30,1,6.347669e+02
5,30,2,6.334292e+02
5,30,3,6.330852e+02
5,30,5,6.317737e+02
5,30,10,6.317737e+02
5,30,20,6.317737e+02
5,30,30,4.758266e+02
5,30,40,4.758266e+02
5,30,50,4.752401e+02
5,30,60,4.750435e+02
5,30,70,4.750435e+02
5,30,80,4.292432e+02
5,30,90,4.271338e+02
5,30,100,4.271338e+02
