funcid,dim,milestone,error
3,10,1,4.872239e+04
3,10,2,4.872239e+04
3,10,3,4.872239e+04
3,10,5,4.872239e+04
3,10,10,2.733733e+04
3,10,20,2.733733e+04
3,10,30,2.733733e+04
3,10,40,2.733733e+04
3,10,50,2.733733e+04
3,10,60,2.542319e+04
3,10,70,2.542319e+04
3,10,80,2.542319e+04
3,10,90,7.287825e+03
3,10,100,7.287825e+03
3,10,1,7.737834e+04
3,10,2,4.181023e+04
3,10,3,2.670862e+04
3,10,5,2.670862e+04
3,10,10,2.670862e+04
3,10,20,2.670862e+04
3,10,30,2.670862e+04
3,10,40,2.670862e+04
3,10,50,2.670862e+04
3,10,60,2.670862e+04
3,10,70,2.670862e+04
3,10,80,2.670862e+04
3,10,90,2.670862e+04
3,10,100,1.956769e+04
3,10,1,8.929809e+10
3,10,2,1.543415e+10
3,10,3,1.266019e+10
3,10,5,1.266019e+10
3,10,10,3.654338e+04
3,10,20,3.654338e+04
3,10,30,3.628037e+04
3,10,40,1.551541e+04
3,10,50,1.551541e+04
3,10,60,1.551541e+04
3,10,70,1.551541e+04
3,10,80,1.551541e+04
3,10,90,1.551541e+04
3,10,100,1.430913e+04
3,10,1,3.257212e+10
3,10,2,3.225908e+10
3,10,3,1.601148e+06
3,10,5,7.485283e+04
3,10,10,4.092143e+04
3,10,20,5.468415e+03
3,10,30,5.468415e+03
3,10,40,5.468415e+03
3,10,50,5.468415e+03
3,10,60,5.468415e+03
3,10,70,5.468415e+03
3,10,80,5.468415e+03
3,10,90,5.468415e+03
3,10,100,5.468415e+03
3,10,1,3.561349e+04
3,10,2,3.534342e+04
3,10,3,3.534342e+04
3,10,5,8.522825e+03
3,10,10,3.451003e+03
3,10,20,3.451003e+03
3,10,30,3.451003e+03
3,10,40,3.451003e+03
3,10,50,3.451003e+03
3,10,60,3.451003e+03
3,10,70,3.451003e+03
3,10,80,3.451003e+03
3,10,90,3.451003e+03
3,10,100,3.451003e+03
3,10,1,1.143417e+11
3,10,2,1.069016e+11
3,10,3,3.593442e+04
3,10,5,1.658141e+04
3,10,10,1.658141e+04
3,10,20,1.658141e+04
3,10,30,1.658141e+04
3,10,40,1.658141e+04
3,10,50,1.658141e+04
3,10,60,1.658141e+04
3,10,70,1.658141e+04
3,10,80,1.658141e+04
3,10,90,1.658141e+04
3,10,100,1.098625e+04
3,10,1,7.967510e+04
3,10,2,7.645618e+04
3,10,3,7.645618e+04
3,10,5,1.640189e+04
3,10,10,8.347993e+03
3,10,20,8.347993e+03
3,10,30,8.347993e+03
3,10,40,8.347993e+03
3,10,50,8.347993e+03
3,10,60,8.051366e+03
3,10,70,8.051366e+03
3,10,80,8.051366e+03
3,10,90,8.051366e+03
3,10,100,8.051366e+03
3,10,1,5.635741e+09
3,10,2,7.587664e+04
3,10,3,6.186494e+04
3,10,5,6.186494e+04
3,10,10,6.186494e+04
3,10,20,1.103635e+04
3,10,30,1.103635e+04
3,10,40,1.103635e+04
3,10,50,1.103635e+04
3,10,60,1.103635e+04
3,10,70,1.103635e+04
3,10,80,1.103635e+04
3,10,90,1.103635e+04
3,10,100,1.103635e+04
3,10,1,1.887858e+04
3,10,2,1.887858e+04
3,10,3,1.875119e+04
3,10,5,1.869909e+04
3,10,10,1.869909e+04
3,10,20,5.410979e+03
3,10,30,5.410979e+03
3,10,40,5.410979e+03
3,10,50,5.410979e+03
3,10,60,5.410979e+03
3,10,70,5.410979e+03
3,10,80,5.410979e+03
3,10,90,5.410979e+03
3,10,100,5.410979e+03
3,10,1,6.343292e+10
3,10,2,1.722567e+09
3,10,3,7.749603e+07
3,10,5,3.438707e+04
3,10,10,3.407321e+04
3,10,20,1.703347e+04
3,10,30,1.703347e+04
3,10,40,1.703347e+04
3,10,50,1.703347e+04
3,10,60,1.703347e+04
3,10,70,1.703347e+04
3,10,80,1.703347e+04
3,10,90,1.703347e+04
3,10,100,1.703347e+04
