funcid,dim,milestone,error
7,10,1,1.476530e+03
7,10,2,1.468381e+03
7,10,3,1.467077e+03
7,10,5,1.467077e+03
7,10,10,1.467077e+03
7,10,20,7.648664e+02
7,10,30,7.217491e+02
7,10,40,4.923835e+02
7,10,50,4.915576e+02
7,10,60,4.915576e+02
7,10,70,4.915576e+02
7,10,80,4.915576e+02
7,10,90,4.915576e+02
7,10,100,4.915576e+02
7,10,1,1.195560e+03
7,10,2,1.195560e+03
7,10,3,1.195560e+03
7,10,5,1.193442e+03
7,10,10,1.193442e+03
7,10,20,1.191989e+03
7,10,30,9.675493e+02
7,10,40,9.320819e+02
7,10,50,9.320819e+02
7,10,60,7.292003e+02
7,10,70,7.292003e+02
7,10,80,7.292003e+02
7,10,90,7.292003e+02
7,10,100,4.155588e+02
7,10,1,9.586540e+02
7,10,2,9.585477e+02
7,10,3,9.585477e+02
7,10,5,9.585477e+02
7,10,10,9.585477e+02
7,10,20,9.572335e+02
7,10,30,6.681527e+02
7,10,40,6.465347e+02
7,10,50,6.465347e+02
7,10,60,6.465347e+02
7,10,70,6.465347e+02
7,10,80,6.465347e+02
7,10,90,6.465347e+02
7,10,100,4.978554e+02
7,10,1,1.005676e+03
7,10,2,9.944490e+02
7,10,3,9.889089e+02
7,10,5,9.889089e+02
7,10,10,9.878168e+02
7,10,20,9.878168e+02
7,10,30,9.283329e+02
7,10,40,9.283329e+02
7,10,50,5.881505e+02
7,10,60,5.869253e+02
7,10,70,5.869253e+02
7,10,80,3.860646e+02
7,10,90,3.860646e+02
7,10,100,3.860646e+02
7,10,1,8.996829e+02
7,10,2,8.996829e+02
7,10,3,8.996829e+02
7,10,5,8.996829e+02
7,10,10,8.654367e+02
7,10,20,8.643579e+02
7,10,30,7.873173e+02
7,10,40,7.865775e+02
7,10,50,6.580739e+02
7,10,60,6.580739e+02
7,10,70,6.580739e+02
7,10,80,6.580739e+02
7,10,90,6.149801e+02
7,10,100,6.121275e+02
7,10,1,9.789804e+02
7,10,2,9.765466e+02
7,10,3,9.765466e+02
7,10,5,9.765466e+02
7,10,10,9.765466e+02
7,10,20,7.560997e+02
7,10,30,7.395050e+02
7,10,40,7.395050e+02
7,10,50,5.004962e+02
7,10,60,5.004962e+02
7,10,70,5.004962e+02
7,10,80,5.004962e+02
7,10,90,5.004962e+02
7,10,100,5.004962e+02
7,10,1,1.664556e+03
7,10,2,1.663844e+03
7,10,3,1.663844e+03
7,10,5,1.663844e+03
7,10,10,1.635989e+03
7,10,20,1.601413e+03
7,10,30,6.893181e+02
7,10,40,6.854608e+02
7,10,50,6.834128e+02
7,10,60,6.675753e+02
7,10,70,6.666455e+02
7,10,80,6.048872e+02
7,10,90,6.048872e+02
7,10,100,5.454915e+02
7,10,1,1.018587e+03
7,10,2,1.012694e+03
7,10,3,1.012694e+03
7,10,5,1.012694e+03
7,10,10,1.012694e+03
7,10,20,1.012694e+03
7,10,30,9.975806e+02
7,10,40,9.788239e+02
7,10,50,8.672058e+02
7,10,60,8.163943e+02
7,10,70,7.158661e+02
7,10,80,7.158661e+02
7,10,90,5.374151e+02
7,10,100,5.303397e+02
7,10,1,9.859771e+02
7,10,2,9.859771e+02
7,10,3,9.859771e+02
7,10,5,9.859771e+02
7,10,10,9.859771e+02
7,10,20,9.859771e+02
7,10,30,6.576270e+02
7,10,40,6.575717e+02
7,10,50,5.292698e+02
7,10,60,5.292698e+02
7,10,70,5.292698e+02
7,10,80,5.292698e+02
7,10,90,5.292698e+02
7,10,100,5.292698e+02
7,10,1,1.196659e+03
7,10,2,1.194036e+03
7,10,3,1.194036e+03
7,10,5,1.194036e+03
7,10,10,1.139800e+03
7,10,20,1.139800e+03
7,10,30,4.661490e+02
7,10,40,4.661490e+02
7,10,50,4.661490e+02
7,10,60,4.661490e+02
7,10,70,4.661490e+02
7,10,80,4.661490e+02
7,10,90,4.661490e+02
7,10,100,4.661490e+02
